[DEBUG] Regularised loss: 1.106921911239624, Regularisation weight: 0.10000000149011612, MSE loss: 11.069218635559082, Quality loss: 3.535205841064453
[DEBUG] Regularised loss: 275.586181640625, Regularisation weight: 0.10000000149011612, MSE loss: 2755.86181640625, Quality loss: 206.722412109375
[DEBUG] Regularised loss: 103640832.0, Regularisation weight: 0.10000000149011612, MSE loss: 1036408320.0, Quality loss: 5731.2451171875
[DEBUG] Regularised loss: 13418469376.0, Regularisation weight: 0.10000000149011612, MSE loss: 134184689664.0, Quality loss: 35672.61328125
[DEBUG] Regularised loss: 1313709056.0, Regularisation weight: 0.10000000149011612, MSE loss: 13137090560.0, Quality loss: 613176.8125
[DEBUG] Regularised loss: 0.16601522266864777, Regularisation weight: 0.10000000149011612, MSE loss: 1.6601521968841553, Quality loss: 2.13554048538208
[DEBUG] Regularised loss: 13.952160835266113, Regularisation weight: 0.10000000149011612, MSE loss: 139.5216064453125, Quality loss: 25.466569900512695
[DEBUG] Regularised loss: 732216.4375, Regularisation weight: 0.10000000149011612, MSE loss: 7322164.5, Quality loss: 231.7532501220703
[DEBUG] Regularised loss: 44699264.0, Regularisation weight: 0.10000000149011612, MSE loss: 446992640.0, Quality loss: 7216.591796875
[DEBUG] Regularised loss: 39164780.0, Regularisation weight: 0.10000000149011612, MSE loss: 391647776.0, Quality loss: 1260169.625
[DEBUG] Regularised loss: 0.1240285262465477, Regularisation weight: 0.10000000149011612, MSE loss: 1.2402852773666382, Quality loss: 3.5070247650146484
[DEBUG] Regularised loss: 6.198770046234131, Regularisation weight: 0.10000000149011612, MSE loss: 61.98769760131836, Quality loss: 6.272097110748291
[DEBUG] Regularised loss: 125257.453125, Regularisation weight: 0.10000000149011612, MSE loss: 1252574.5, Quality loss: 63.39207458496094
[DEBUG] Regularised loss: 4973887.5, Regularisation weight: 0.10000000149011612, MSE loss: 49738872.0, Quality loss: 2474.376708984375
[DEBUG] Regularised loss: 3713230.0, Regularisation weight: 0.10000000149011612, MSE loss: 37132300.0, Quality loss: 6651.14453125
[DEBUG] Regularised loss: 0.05231330916285515, Regularisation weight: 0.10000000149011612, MSE loss: 0.5231330990791321, Quality loss: 1.5499608516693115
[DEBUG] Regularised loss: 0.45547935366630554, Regularisation weight: 0.10000000149011612, MSE loss: 4.554793357849121, Quality loss: 2.5407633781433105
[DEBUG] Regularised loss: 5680.25537109375, Regularisation weight: 0.10000000149011612, MSE loss: 56802.5546875, Quality loss: 163.5325469970703
[DEBUG] Regularised loss: 287618.40625, Regularisation weight: 0.10000000149011612, MSE loss: 2876184.0, Quality loss: 148.42918395996094
